"","Age","Height","Weight"
"1",20,163,48
"2",19,163,58
"3",20,176,67
"4",22,172,59
"5",20,170,59
"7",20,177,50
"9",18,166,55
"10",19,174,60
"11",19,175,60
"12",17,176,60
"13",24,168,55
"14",19,165,55
"15",22,175,57
"17",19,175,65
"18",20,168,65
"23",22,167,70
"24",20,168,54
"25",19,167,51
"26",20,170,56
"27",22,165,63
"28",19,163,50
"30",19,168,60
"32",22,177,80
"33",20,158,46
"34",27,170,70
"36",19,170,72
"37",18,173,65
"39",23,168,60
"40",21,155,46
"41",26,172,62
"43",19,170,90
"44",20,163,55
"45",25,170,67
"47",21,163,55
"48",19,170,60
"49",20,171,70
"50",20,157,41
"51",19,175,60
"53",21,160,58
"54",18,164,51
"55",21,160,57
"56",23,165,45
"57",20,170,64
"58",21,157,45
"65",18,180,52
"68",24,160,58
"69",18,162,50
"70",20,163,47
"73",28,168,52
"78",21,175,60
"79",24,148,57
"80",21,173,63
"81",19,163,48
"83",18,163,47
"84",22,163,53
"85",19,168,48
"88",18,159,50
"89",21,164,75
"90",22,156,50
"91",19,154,58
"92",18,168,50
"93",19,170,63
"100",18,162,50
"101",21,172,71
"103",20,168,55
"108",18,178,55
"109",17,168,61
"112",22,166,56
"113",20,163,54
"114",21,162,60
"115",19,163,54
"116",17,175,62
"117",21,169,61
"118",18,165,55
"120",16,161,54
"123",23,156,56
"124",20,172,80
"126",20,157,54
"127",20,163,56
"128",19,177,64
"129",15,173,49
"130",20,178,75
"131",19,168,66
"133",15,170,51
"134",20,170,50
"135",16,170,59
"139",20,168,50
"140",19,168,53
"141",19,175,52
"142",19,170,65
"144",20,168,62
"146",19,165,78
"151",22,177,61
"154",21,170,52
"156",19,171,72
"159",15,160,48
"162",20,172,73
"166",20,168,60
"167",21,161,65
"169",20,180,71
"170",19,157,57
"176",17,163,61
"179",20,160,50
"183",19,158,47
"185",21,174,85
"186",19,167,55
"187",29,169,65
"188",22,183,80
"189",19,170,55
"190",17,166,54
"191",16,158,48
"192",29,160,67
"193",18,158,65
"197",20,169,64
"198",22,160,47
"204",19,163,50
"205",24,169,51
"206",19,160,53
"208",20,170,62
"209",19,170,60
"212",21,176,55
"214",20,168,69
"215",18,173,55
"217",17,163,68
"218",19,178,60
"223",24,153,42
"224",20,168,51
"228",19,168,68
"229",20,157,48
"231",19,173,63
"232",19,171,55
"233",19,168,60
"234",18,165,48
"235",18,168,65
"236",16,174,64
"237",19,171,57
"238",18,173,64
"239",19,157,48
"240",21,173,59
"242",18,180,60
"243",21,175,63
"244",17,178,70
"245",20,160,46
"246",19,172,60
"248",22,165,68
"249",19,160,55
"250",19,165,55
"251",20,176,63
"252",19,164,60
"253",20,155,44
"254",17,167,57
"255",23,171,59
"256",20,158,50
"257",20,170,60
"259",20,182,63
"262",18,170,50
"263",19,165,55
"264",15,176,53
"265",19,167,54
"266",15,170,49
"267",19,168,72
"268",21,163,49
"269",19,152,47
"270",17,158,57
"271",23,165,70
"273",19,170,55
"274",19,178,67
"275",22,170,60
"276",20,170,70
"280",20,161,53
"281",18,178,69
"283",20,165,50
"286",20,168,55
"287",27,168,55
"288",19,180,57
"291",20,173,58
"293",21,184,120
"294",16,167,62
"295",19,177,63
"296",18,167,57
"299",19,163,51
"300",22,173,52
"301",18,165,65
"303",19,178,58
"304",25,167,76
"305",18,160,53
"306",20,169,64
"307",15,174,63
"308",19,176,68
"309",19,178,68
"310",16,158,50
"312",18,167,57
"314",20,170,55
"317",20,170,60
"319",16,169,48
"320",18,166,65
"322",16,162,55
"323",18,160,50
