"","Age","Height","Weight"
"1",20,64.1732283464567,105.82176
"2",19,64.1732283464567,127.86796
"3",20,69.2913385826772,147.70954
"4",22,67.7165354330709,130.07258
"5",20,66.9291338582677,130.07258
"7",20,69.6850393700787,110.231
"9",18,65.3543307086614,121.2541
"10",19,68.503937007874,132.2772
"11",19,68.8976377952756,132.2772
"12",17,69.2913385826772,132.2772
"13",24,66.1417322834646,121.2541
"14",19,64.9606299212598,121.2541
"15",22,68.8976377952756,125.66334
"17",19,68.8976377952756,143.3003
"18",20,66.1417322834646,143.3003
"23",22,65.748031496063,154.3234
"24",20,66.1417322834646,119.04948
"25",19,65.748031496063,112.43562
"26",20,66.9291338582677,123.45872
"27",22,64.9606299212598,138.89106
"28",19,64.1732283464567,110.231
"30",19,66.1417322834646,132.2772
"32",22,69.6850393700787,176.3696
"33",20,62.2047244094488,101.41252
"34",27,66.9291338582677,154.3234
"36",19,66.9291338582677,158.73264
"37",18,68.1102362204724,143.3003
"39",23,66.1417322834646,132.2772
"40",21,61.0236220472441,101.41252
"41",26,67.7165354330709,136.68644
"43",19,66.9291338582677,198.4158
"44",20,64.1732283464567,121.2541
"45",25,66.9291338582677,147.70954
"47",21,64.1732283464567,121.2541
"48",19,66.9291338582677,132.2772
"49",20,67.3228346456693,154.3234
"50",20,61.8110236220472,90.38942
"51",19,68.8976377952756,132.2772
"53",21,62.992125984252,127.86796
"54",18,64.5669291338583,112.43562
"55",21,62.992125984252,125.66334
"56",23,64.9606299212598,99.2079
"57",20,66.9291338582677,141.09568
"58",21,61.8110236220472,99.2079
"65",18,70.8661417322835,114.64024
"68",24,62.992125984252,127.86796
"69",18,63.7795275590551,110.231
"70",20,64.1732283464567,103.61714
"73",28,66.1417322834646,114.64024
"78",21,68.8976377952756,132.2772
"79",24,58.2677165354331,125.66334
"80",21,68.1102362204724,138.89106
"81",19,64.1732283464567,105.82176
"83",18,64.1732283464567,103.61714
"84",22,64.1732283464567,116.84486
"85",19,66.1417322834646,105.82176
"88",18,62.5984251968504,110.231
"89",21,64.5669291338583,165.3465
"90",22,61.4173228346457,110.231
"91",19,60.6299212598425,127.86796
"92",18,66.1417322834646,110.231
"93",19,66.9291338582677,138.89106
"100",18,63.7795275590551,110.231
"101",21,67.7165354330709,156.52802
"103",20,66.1417322834646,121.2541
"108",18,70.0787401574803,121.2541
"109",17,66.1417322834646,134.48182
"112",22,65.3543307086614,123.45872
"113",20,64.1732283464567,119.04948
"114",21,63.7795275590551,132.2772
"115",19,64.1732283464567,119.04948
"116",17,68.8976377952756,136.68644
"117",21,66.5354330708661,134.48182
"118",18,64.9606299212598,121.2541
"120",16,63.3858267716535,119.04948
"123",23,61.4173228346457,123.45872
"124",20,67.7165354330709,176.3696
"126",20,61.8110236220472,119.04948
"127",20,64.1732283464567,123.45872
"128",19,69.6850393700787,141.09568
"129",15,68.1102362204724,108.02638
"130",20,70.0787401574803,165.3465
"131",19,66.1417322834646,145.50492
"133",15,66.9291338582677,112.43562
"134",20,66.9291338582677,110.231
"135",16,66.9291338582677,130.07258
"139",20,66.1417322834646,110.231
"140",19,66.1417322834646,116.84486
"141",19,68.8976377952756,114.64024
"142",19,66.9291338582677,143.3003
"144",20,66.1417322834646,136.68644
"146",19,64.9606299212598,171.96036
"151",22,69.6850393700787,134.48182
"154",21,66.9291338582677,114.64024
"156",19,67.3228346456693,158.73264
"159",15,62.992125984252,105.82176
"162",20,67.7165354330709,160.93726
"166",20,66.1417322834646,132.2772
"167",21,63.3858267716535,143.3003
"169",20,70.8661417322835,156.52802
"170",19,61.8110236220472,125.66334
"176",17,64.1732283464567,134.48182
"179",20,62.992125984252,110.231
"183",19,62.2047244094488,103.61714
"185",21,68.503937007874,187.3927
"186",19,65.748031496063,121.2541
"187",29,66.5354330708661,143.3003
"188",22,72.0472440944882,176.3696
